,Date,Date_mod
0,2022-12-31,2023-01-02
1,2022-12-30,2022-12-30
2,2022-12-29,2022-12-29
3,2022-12-28,2022-12-28
4,2022-12-27,2022-12-27
5,2022-12-26,2022-12-27
6,2022-12-25,2022-12-27
7,2022-12-24,2022-12-27
8,2022-12-23,2022-12-23
9,2022-12-22,2022-12-22
10,2022-12-21,2022-12-21
11,2022-12-20,2022-12-20
12,2022-12-19,2022-12-19
13,2022-12-18,2022-12-19
14,2022-12-17,2022-12-19
15,2022-12-16,2022-12-16
16,2022-12-15,2022-12-15
17,2022-12-14,2022-12-14
18,2022-12-13,2022-12-13
19,2022-12-12,2022-12-12
20,2022-12-11,2022-12-12
21,2022-12-10,2022-12-12
22,2022-12-09,2022-12-09
23,2022-12-08,2022-12-08
24,2022-12-07,2022-12-07
25,2022-12-06,2022-12-06
26,2022-12-05,2022-12-05
27,2022-12-04,2022-12-05
28,2022-12-03,2022-12-05
29,2022-12-02,2022-12-02
30,2022-12-01,2022-12-01
31,2022-11-30,2022-11-30
32,2022-11-29,2022-11-29
33,2022-11-28,2022-11-28
34,2022-11-27,2022-11-28
35,2022-11-26,2022-11-28
36,2022-11-25,2022-11-25
37,2022-11-24,2022-11-24
38,2022-11-23,2022-11-23
39,2022-11-22,2022-11-22
40,2022-11-21,2022-11-22
41,2022-11-20,2022-11-22
42,2022-11-19,2022-11-22
43,2022-11-18,2022-11-18
44,2022-11-17,2022-11-17
45,2022-11-16,2022-11-16
46,2022-11-15,2022-11-15
47,2022-11-14,2022-11-14
48,2022-11-13,2022-11-14
49,2022-11-12,2022-11-14
50,2022-11-11,2022-11-11
51,2022-11-10,2022-11-10
52,2022-11-09,2022-11-09
53,2022-11-08,2022-11-08
54,2022-11-07,2022-11-07
55,2022-11-06,2022-11-07
56,2022-11-05,2022-11-07
57,2022-11-04,2022-11-04
58,2022-11-03,2022-11-03
59,2022-11-02,2022-11-02
60,2022-11-01,2022-11-01
61,2022-10-31,2022-10-31
62,2022-10-30,2022-10-31
63,2022-10-29,2022-10-31
64,2022-10-28,2022-10-28
65,2022-10-27,2022-10-27
66,2022-10-26,2022-10-26
67,2022-10-25,2022-10-25
68,2022-10-24,2022-10-24
69,2022-10-23,2022-10-24
70,2022-10-22,2022-10-24
71,2022-10-21,2022-10-21
72,2022-10-20,2022-10-20
73,2022-10-19,2022-10-19
74,2022-10-18,2022-10-18
75,2022-10-17,2022-10-17
76,2022-10-16,2022-10-17
77,2022-10-15,2022-10-17
78,2022-10-14,2022-10-14
79,2022-10-13,2022-10-13
80,2022-10-12,2022-10-12
81,2022-10-11,2022-10-11
82,2022-10-10,2022-10-10
83,2022-10-09,2022-10-10
84,2022-10-08,2022-10-10
85,2022-10-07,2022-10-07
86,2022-10-06,2022-10-06
87,2022-10-05,2022-10-05
88,2022-10-04,2022-10-04
89,2022-10-03,2022-10-03
90,2022-10-02,2022-10-03
91,2022-10-01,2022-10-03
92,2022-09-30,2022-09-30
93,2022-09-29,2022-09-29
94,2022-09-28,2022-09-28
95,2022-09-27,2022-09-27
96,2022-09-26,2022-09-26
97,2022-09-25,2022-09-26
98,2022-09-24,2022-09-26
99,2022-09-23,2022-09-23
100,2022-09-22,2022-09-22
101,2022-09-21,2022-09-21
102,2022-09-20,2022-09-20
103,2022-09-19,2022-09-19
104,2022-09-18,2022-09-19
105,2022-09-17,2022-09-19
106,2022-09-16,2022-09-16
107,2022-09-15,2022-09-15
108,2022-09-14,2022-09-14
109,2022-09-13,2022-09-13
110,2022-09-12,2022-09-12
111,2022-09-11,2022-09-12
112,2022-09-10,2022-09-12
113,2022-09-09,2022-09-09
114,2022-09-08,2022-09-08
115,2022-09-07,2022-09-07
116,2022-09-06,2022-09-06
117,2022-09-05,2022-09-05
118,2022-09-04,2022-09-05
119,2022-09-03,2022-09-05
120,2022-09-02,2022-09-02
121,2022-09-01,2022-09-01
122,2022-08-31,2022-08-31
123,2022-08-30,2022-08-30
124,2022-08-29,2022-08-29
125,2022-08-28,2022-08-29
126,2022-08-27,2022-08-29
127,2022-08-26,2022-08-26
128,2022-08-25,2022-08-25
129,2022-08-24,2022-08-24
130,2022-08-23,2022-08-23
131,2022-08-22,2022-08-22
132,2022-08-21,2022-08-22
133,2022-08-20,2022-08-22
134,2022-08-19,2022-08-19
135,2022-08-18,2022-08-18
136,2022-08-17,2022-08-17
137,2022-08-16,2022-08-16
138,2022-08-15,2022-08-15
139,2022-08-14,2022-08-15
140,2022-08-13,2022-08-15
141,2022-08-12,2022-08-12
142,2022-08-11,2022-08-11
143,2022-08-10,2022-08-10
144,2022-08-09,2022-08-09
145,2022-08-08,2022-08-08
146,2022-08-07,2022-08-08
147,2022-08-06,2022-08-08
148,2022-08-05,2022-08-05
149,2022-08-04,2022-08-04
150,2022-08-03,2022-08-03
151,2022-08-02,2022-08-02
152,2022-08-01,2022-08-01
153,2022-07-31,2022-08-01
154,2022-07-30,2022-08-01
155,2022-07-29,2022-07-29
156,2022-07-28,2022-07-28
157,2022-07-27,2022-07-27
158,2022-07-26,2022-07-26
159,2022-07-25,2022-07-25
160,2022-07-24,2022-07-25
161,2022-07-23,2022-07-25
162,2022-07-22,2022-07-22
163,2022-07-21,2022-07-21
164,2022-07-20,2022-07-20
165,2022-07-19,2022-07-19
166,2022-07-18,2022-07-18
167,2022-07-17,2022-07-18
168,2022-07-16,2022-07-18
169,2022-07-15,2022-07-15
170,2022-07-14,2022-07-14
171,2022-07-13,2022-07-13
172,2022-07-12,2022-07-12
173,2022-07-11,2022-07-11
174,2022-07-10,2022-07-11
175,2022-07-09,2022-07-11
176,2022-07-08,2022-07-08
177,2022-07-07,2022-07-07
178,2022-07-06,2022-07-06
179,2022-07-05,2022-07-05
180,2022-07-04,2022-07-04
181,2022-07-03,2022-07-04
182,2022-07-02,2022-07-04
183,2022-07-01,2022-07-01
184,2022-06-30,2022-06-30
185,2022-06-29,2022-06-29
186,2022-06-28,2022-06-28
187,2022-06-27,2022-06-27
188,2022-06-26,2022-06-27
189,2022-06-25,2022-06-27
190,2022-06-24,2022-06-24
191,2022-06-23,2022-06-23
192,2022-06-22,2022-06-22
193,2022-06-21,2022-06-21
194,2022-06-20,2022-06-20
195,2022-06-19,2022-06-20
196,2022-06-18,2022-06-20
197,2022-06-17,2022-06-17
198,2022-06-16,2022-06-16
199,2022-06-15,2022-06-15
200,2022-06-14,2022-06-14
201,2022-06-13,2022-06-13
202,2022-06-12,2022-06-13
203,2022-06-11,2022-06-13
204,2022-06-10,2022-06-10
205,2022-06-09,2022-06-09
206,2022-06-08,2022-06-08
207,2022-06-07,2022-06-07
208,2022-06-06,2022-06-06
209,2022-06-05,2022-06-06
210,2022-06-04,2022-06-06
211,2022-06-03,2022-06-03
212,2022-06-02,2022-06-02
213,2022-06-01,2022-06-01
214,2022-05-31,2022-05-31
215,2022-05-30,2022-05-30
216,2022-05-29,2022-05-30
217,2022-05-28,2022-05-30
218,2022-05-27,2022-05-27
219,2022-05-26,2022-05-26
220,2022-05-25,2022-05-25
221,2022-05-24,2022-05-24
222,2022-05-23,2022-05-23
223,2022-05-22,2022-05-23
224,2022-05-21,2022-05-23
225,2022-05-20,2022-05-20
226,2022-05-19,2022-05-19
227,2022-05-18,2022-05-18
228,2022-05-17,2022-05-17
229,2022-05-16,2022-05-16
230,2022-05-15,2022-05-16
231,2022-05-14,2022-05-16
232,2022-05-13,2022-05-13
233,2022-05-12,2022-05-12
234,2022-05-11,2022-05-11
235,2022-05-10,2022-05-10
236,2022-05-09,2022-05-09
237,2022-05-08,2022-05-09
238,2022-05-07,2022-05-09
239,2022-05-06,2022-05-06
240,2022-05-05,2022-05-05
241,2022-05-04,2022-05-04
242,2022-05-03,2022-05-03
243,2022-05-02,2022-05-03
244,2022-05-01,2022-05-03
245,2022-04-30,2022-05-03
246,2022-04-29,2022-04-29
247,2022-04-28,2022-04-28
248,2022-04-27,2022-04-27
249,2022-04-26,2022-04-26
250,2022-04-25,2022-04-25
251,2022-04-24,2022-04-25
252,2022-04-23,2022-04-25
253,2022-04-22,2022-04-22
254,2022-04-21,2022-04-21
255,2022-04-20,2022-04-20
256,2022-04-19,2022-04-19
257,2022-04-18,2022-04-18
258,2022-04-17,2022-04-18
259,2022-04-16,2022-04-18
260,2022-04-15,2022-04-15
261,2022-04-14,2022-04-14
262,2022-04-13,2022-04-13
263,2022-04-12,2022-04-12
264,2022-04-11,2022-04-11
265,2022-04-10,2022-04-11
266,2022-04-09,2022-04-11
267,2022-04-08,2022-04-08
268,2022-04-07,2022-04-07
269,2022-04-06,2022-04-06
270,2022-04-05,2022-04-05
271,2022-04-04,2022-04-04
272,2022-04-03,2022-04-04
273,2022-04-02,2022-04-04
274,2022-04-01,2022-04-01
275,2022-03-31,2022-03-31
276,2022-03-30,2022-03-30
277,2022-03-29,2022-03-29
278,2022-03-28,2022-03-28
279,2022-03-27,2022-03-28
280,2022-03-26,2022-03-28
281,2022-03-25,2022-03-25
282,2022-03-24,2022-03-24
283,2022-03-23,2022-03-23
284,2022-03-22,2022-03-22
285,2022-03-21,2022-03-22
286,2022-03-20,2022-03-22
287,2022-03-19,2022-03-22
288,2022-03-18,2022-03-18
289,2022-03-17,2022-03-17
290,2022-03-16,2022-03-16
291,2022-03-15,2022-03-15
292,2022-03-14,2022-03-14
293,2022-03-13,2022-03-14
294,2022-03-12,2022-03-14
295,2022-03-11,2022-03-11
296,2022-03-10,2022-03-10
297,2022-03-09,2022-03-09
298,2022-03-08,2022-03-08
299,2022-03-07,2022-03-07
300,2022-03-06,2022-03-07
301,2022-03-05,2022-03-07
302,2022-03-04,2022-03-04
303,2022-03-03,2022-03-03
304,2022-03-02,2022-03-02
305,2022-03-01,2022-03-01
306,2022-02-28,2022-02-28
307,2022-02-27,2022-02-28
308,2022-02-26,2022-02-28
309,2022-02-25,2022-02-25
310,2022-02-24,2022-02-24
311,2022-02-23,2022-02-23
312,2022-02-22,2022-02-22
313,2022-02-21,2022-02-21
314,2022-02-20,2022-02-21
315,2022-02-19,2022-02-21
316,2022-02-18,2022-02-18
317,2022-02-17,2022-02-17
318,2022-02-16,2022-02-16
319,2022-02-15,2022-02-15
320,2022-02-14,2022-02-14
321,2022-02-13,2022-02-14
322,2022-02-12,2022-02-14
323,2022-02-11,2022-02-11
324,2022-02-10,2022-02-10
325,2022-02-09,2022-02-09
326,2022-02-08,2022-02-08
327,2022-02-07,2022-02-08
328,2022-02-06,2022-02-08
329,2022-02-05,2022-02-08
330,2022-02-04,2022-02-04
331,2022-02-03,2022-02-03
332,2022-02-02,2022-02-02
333,2022-02-01,2022-02-01
334,2022-01-31,2022-01-31
335,2022-01-30,2022-01-31
336,2022-01-29,2022-01-31
337,2022-01-28,2022-01-28
338,2022-01-27,2022-01-27
339,2022-01-26,2022-01-26
340,2022-01-25,2022-01-25
341,2022-01-24,2022-01-24
342,2022-01-23,2022-01-24
343,2022-01-22,2022-01-24
344,2022-01-21,2022-01-21
345,2022-01-20,2022-01-20
346,2022-01-19,2022-01-19
347,2022-01-18,2022-01-18
348,2022-01-17,2022-01-17
349,2022-01-16,2022-01-17
350,2022-01-15,2022-01-17
351,2022-01-14,2022-01-14
352,2022-01-13,2022-01-13
353,2022-01-12,2022-01-12
354,2022-01-11,2022-01-11
355,2022-01-10,2022-01-10
356,2022-01-09,2022-01-10
357,2022-01-08,2022-01-10
358,2022-01-07,2022-01-07
359,2022-01-06,2022-01-06
360,2022-01-05,2022-01-05
361,2022-01-04,2022-01-04
362,2022-01-03,2022-01-03
363,2022-01-02,2022-01-03
364,2022-01-01,2022-01-03
